Name,Genre,Rating,Director,Actor,Year,Hero_Rating,movie_rating,content_rating
Mr. Local,Action,3.1,M. Rajesh,Sivakarthikeyan,2019,9,8,6.7
100,Action,6.5,Sam Anton,Atharvaa Murali,2019,5,9,6.833333333
Vellai Pookal,Crime,7.2,Vivek Elangovan,Vivek,2019,4,9,6.733333333
Mehandi Circus,Drama,7.5,Raju Saravanan,Madhampatty Rangaraj,2019,7,8,7.5
Kanchana 3,Action,4.2,Lawrence Raghavendra,Lawrence Raghavendra,2019,8,8,6.733333333
Watchman,Thriller,5.1,A.L. Vijay,G.V. Prakash Kumar,2019,9,8,7.366666667
Gangs Of Madras,Action,5.5,C.V. Kumar,Daniel Balaji,2019,8,9,7.5
Uriyadi 2,Action,7.2,Vijay Kumar,Vijay Kumar,2019,7,9,7.733333333
Kuppathu Raja,Comedy,4.9,Baba Bhaskar,G.V. Prakash Kumar,2019,9,8,7.3
Natpe Thunai,Comedy,6.5,Parthiban Desingu,Hiphop Tamizha Adhi,2019,9,8,7.833333333
Super Deluxe,Action,8.4,Thiagarajan Kumararaja,Vijay Sethupathi,2019,7,8,7.8
Airaa,Drama,4.6,Sarjun,Nayanthara,2019,10,8,7.533333333
Agni Devi,Crime,5.3,Jpr,Sathish Krishnan,2019,9,8,7.433333333
Nedunalvaadai,Drama,7.3,Selvakannan,Elvis Alexander,2019,8,7,7.433333333
Ispade Rajavum Idhaya Raniyum,Drama,6.5,Ranjit Jeyakodi,Harish Kalyan,2019,7,7,6.833333333
Sathru,Thriller,6,Naveen Nanjundan,Master Ajithesh,2019,5,7,6
Boomerang,Action,5.6,R. Kannan,Atharvaa Murali,2019,7,6,6.2
Thadam,Action,8.2,Magizh Thirumeni,Arun Vijay,2019,8,6,7.4
90 ML,Comedy,3.3,Anita Udeep,Oviya,2019,9,8,6.766666667
LKG,Comedy,6.9,Prabhu,RJ Balaji,2019,8,9,7.966666667
Vantha Rajavathaan Varuven,Action,3.7,Sundar C.,T.R. Silambarasan,2019,9,8,6.9
Dhilluku Dhuddu 2,Comedy,5.3,Rambala,Santhanam,2019,7,9,7.1
Dev,Action,4.8,Rajath Ravishankar,Karthi,2019,5,8,5.933333333
Charlie Chaplin 2,Comedy,3.8,Sakthi Chidambaram,Prabhu Deva,2019,4,7,4.933333333
Petta,Action,7.3,Karthik Subbaraj,Rajinikanth,2019,8,8,7.766666667
Viswasam,Action,6.7,Siva,Ajith Kumar,2019,8,9,7.9
